id	file	length_offset	text_offset	source	translation	control_codes	status	notes
Script/scenario01_1.binu8@65181	Script/scenario01_1.binu8	65177	65181	　それが、私の最期の演劇だ。	这就是，我的绝唱		PC版替换待抽检	来自电脑端汉化补丁；按场景、PC原文及出现次序安全对齐，待抽样复核
Script/scenario01_1.binu8@65228	Script/scenario01_1.binu8	65224	65228	@vMirai_0002「この世の不条理に激怒し、自らの暴政により反旗を翻され、処刑された孤独の王」	@vMirai_0002「暴怒于世界的荒诞，却反被反抗自己暴政的革命所推翻并杀害的，孤独之王」	@vMirai_0002	PC版替换待抽检	来自电脑端汉化补丁；按语音编号对齐，待抽样复核
Script/scenario01_1.binu8@65359	Script/scenario01_1.binu8	65355	65359	　これが、私の心の叫びだ。	这就是，我心灵的呐喊		PC版替换待抽检	来自电脑端汉化补丁；按场景、PC原文及出现次序安全对齐，待抽样复核
Script/scenario01_1.binu8@65403	Script/scenario01_1.binu8	65399	65403	ガラス中	眼镜		初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@65420	Script/scenario01_1.binu8	65416	65420	"@vMirai_0003「""カリギュラ！　お前だつて、お前だつて矢張り罪があるのだ""」"	@vMirai_0003「卡利古拉！你！你还是有罪的！」	@vMirai_0003	PC版替换待抽检	来自电脑端汉化补丁；按语音编号对齐，待抽样复核
Script/scenario01_1.binu8@65526	Script/scenario01_1.binu8	65522	65526	　聞け、この世の不条理を知らないものたちよ。@n　知れ、あたかも幸福がどこにでもあると思いこんでいるものたちよ。	　听好了，你们这些不知世间不合理的人。@n　认清吧，你们这些自以为幸福无处不在的人。	@n	初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@65695	Script/scenario01_1.binu8	65691	65695	"@vMirai_0004「""誰一人として罪のない者はゐないと言ふ此の世界で、裁判官もゐないと言ふのに誰が一體此の俺に罪の宣告をすると言ふのだ！""」"	@vMirai_0004「为人者，此世生来皆负原罪，既然没有绝对的裁判，那又有谁有资格宣告我的罪恶！」	@vMirai_0004	PC版替换待抽检	来自电脑端汉化补丁；按语音编号对齐，待抽样复核
Script/scenario01_1.binu8@65891	Script/scenario01_1.binu8	65887	65891	"@vMirai_0005「""あらゆるものがひどく複雑に見える。ところがみな至極単純なことなのだ""」"	@vMirai_0005「万物看似芜杂。实则单纯无比」	@vMirai_0005	PC版替换待抽检	来自电脑端汉化补丁；按语音编号对齐，待抽样复核
Script/scenario01_1.binu8@66015	Script/scenario01_1.binu8	66011	66015	"@vMirai_0006「"" 若し俺が月を手に入れてゐたら、愛だけで満足してゐたら、すべては變つてゐたらう。だが此の心の渇きを何處で醫したらいゝのだ？""」"	@vMirai_0006「若我摘下了月亮，满足这爱欲，想来结果会有些许不同吧。但，我这渴望之心又该到何处才能得到疗愈？」	@vMirai_0006	PC版替换待抽检	来自电脑端汉化补丁；按语音编号对齐，待抽样复核
Script/scenario01_1.binu8@66221	Script/scenario01_1.binu8	66217	66221	"@vMirai_0007「""此の世にも、あの世にも何ひとつ俺にぴつたりするものはない。だが、俺は知つている、そしてお前も知つてゐる筈だ""」"	@vMirai_0007「此世也好，彼世也罢，都没有与其相符的东西。但我知道，我相信你也知道」	@vMirai_0007	PC版替换待抽检	来自电脑端汉化补丁；按语音编号对齐，待抽样复核
Script/scenario01_1.binu8@66405	Script/scenario01_1.binu8	66401	66405	"@vMirai_0008「""不可能なものがありさへすればいいんだと言ふことを。不可能なもの！　俺はそれを世界の果てまで、自分自身の隅々まで探し求めた""」"	@vMirai_0008「“不可能的就是不可能”这对我来讲才是不可能！我要向着世界的尽头，压上自己的全部去探求它」	@vMirai_0008	PC版替换待抽检	来自电脑端汉化补丁；按语音编号对齐，待抽样复核
Script/scenario01_1.binu8@66610	Script/scenario01_1.binu8	66606	66610	"@vMirai_0009「""俺は兩の手をさしのべた、今もさしのべてゐる、それなのに俺の出會ふのはお前だ、何時も俺の眞正面にゐるお前だ""」"	@vMirai_0009「我伸出双手，如今也索求着，可你却出现在了我的面前，无论何时你都站在我的正对面」	@vMirai_0009	PC版替换待抽检	来自电脑端汉化补丁；按语音编号对齐，待抽样复核
Script/scenario01_1.binu8@66791	Script/scenario01_1.binu8	66787	66791	"@vMirai_0010「""そして今では俺はお前に對する憎惡に燃えてゐる。俺は進むべき途を進まなかつた、行き着く場所は何もない。俺の自由はどうにもならぬ。何もない！　矢張り何もない""」"	@vMirai_0010「于是我便对你燃起了憎恶。我没能走上要走的路，没能去往该去的地方。我的自由受挫了。一无所有，还是一无所有」	@vMirai_0010	PC版替换待抽检	来自电脑端汉化补丁；按语音编号对齐，待抽样复核
Script/scenario01_1.binu8@67044	Script/scenario01_1.binu8	67040	67044	"@vMirai_0011「""エリコンは歸つて来なかつた。俺達は永久に罪を背負つて行くのだ！　此の夜はまるで人間の苦悩の様に重苦しい""」"	@vMirai_0011「赫里功没能回来。我们已背负上永远的罪名！这夜晚如同人类之烦恼般沉重而苦涩」	@vMirai_0011	PC版替换待抽检	来自电脑端汉化补丁；按语音编号对齐，待抽样复核
Script/scenario01_1.binu8@67222	Script/scenario01_1.binu8	67218	67222	　ああ。@n　暴君を殺す者たちが、やってくるのだ。	　啊啊。@n　杀死暴君的人们，就要来了。	@n	初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@67298	Script/scenario01_1.binu8	67294	67298	映画の横薙ぎ最速	最快的电影		初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@67327	Script/scenario01_1.binu8	67323	67327	"@vMirai_0012「""歴史だ、カリギュラ、歴史に歸るのだ""」"	@vMirai_0012「这就是历史，卡利古拉，一切都尘归过去」	@vMirai_0012	PC版替换待抽检	来自电脑端汉化补丁；按语音编号对齐，待抽样复核
Script/scenario01_1.binu8@67403	Script/scenario01_1.binu8	67399	67403	"@vMirai_0013「""俺はまだ生きてゐるぞ！""」"	@vMirai_0013「说是新生欢迎会来着」	@vMirai_0013	PC版替换待抽检	来自电脑端汉化补丁；按语音编号对齐，待抽样复核
Script/scenario01_1.binu8@67461	Script/scenario01_1.binu8	67457	67461	　幕が下りると同時に、彼女は舞台上に倒れ込んだ。@n　鬼気迫る圧倒的な演技に、誰もが言葉を発せられずにいる中、共演者たちが叫び声を上げる。	　幕布落下的同时，她倒在了舞台上。@n　那令人毛骨悚然、压倒性的演技，让所有人都说不出话来，共演者们则发出了惨叫。	@n	初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@67669	Script/scenario01_1.binu8	67665	67669	@n　――折原さんが、息をしていない。	@n　——折原小姐没有呼吸。	@n	初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@67727	Script/scenario01_1.binu8	67723	67727	　鮮血に染まる少女の身体は、冷たく項垂れていた。@n　身に染まる赤色は、舞台上の演出だと誰もが分かっているはずなのに。	　少女的身体染满鲜血，冰冷地垂着头。@n　所有人明明都知道，那染上身体的红色只是舞台演出，可是……	@n	初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@67905	Script/scenario01_1.binu8	67901	67905	@n　――折原氷狐は、演技の果てに絶命した。	@n　——折原冰狐在演技的尽头断了气。	@n	初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@67972	Script/scenario01_1.binu8	67968	67972	　自殺？　他殺？　原因は？@n　事件性はないと警察が断言しても、壮絶なる死に様が話題を生む。	　自杀？他杀？原因呢？@n　即使警方断言没有案件嫌疑，她那壮烈的死状仍成了人们议论的话题。	@n	初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@68111	Script/scenario01_1.binu8	68107	68111	　単なる心臓発作？@n　あるいは服毒による自殺？	　只是心脏病发作？@n　还是服毒自杀？	@n	初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@68184	Script/scenario01_1.binu8	68180	68184	　天才少女と呼ばれた、稀代の名女優、折原氷狐。	被称为天才少女的，稀世绝代的名女角，折原氷狐。		PC版替换待抽检	来自电脑端汉化补丁；按场景、PC原文及出现次序安全对齐，待抽样复核
Script/scenario01_1.binu8@68258	Script/scenario01_1.binu8	68254	68258	　彼女の死の真相については、やがてある一説が急浮上する。	关于她死亡的真相，不久后便有一说异军突起。		PC版替换待抽检	来自电脑端汉化补丁；按场景、PC原文及出现次序安全对齐，待抽样复核
Script/scenario01_1.binu8@68347	Script/scenario01_1.binu8	68343	68347	@n　――彼女は最高の演技を行うために、死を選んだ。	@n　——为了完成最完美的演技，她选择了死亡。	@n	初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@68426	Script/scenario01_1.binu8	68422	68426	　彼女の死は、カリギュラの物語に迫力と真実味を与えた。@n　脚本通りに死ぬことで、カリギュラの怒りを表現したのだろうと。	　她的死为卡利古拉的故事增添了魄力与真实感。@n　或许，她是通过按照剧本死去，来表现卡利古拉的愤怒。	@n	初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@68607	Script/scenario01_1.binu8	68603	68607	　あまりにも馬鹿馬鹿しい、喜劇的な、あるいは狂言的な真相。	这就是过于天马行空，戏剧性的，又或者说狂言式的真相。		PC版替换待抽检	来自电脑端汉化补丁；按场景、PC原文及出现次序安全对齐，待抽样复核
Script/scenario01_1.binu8@68699	Script/scenario01_1.binu8	68695	68699	　だが、彼女の性格を知る者ほど、その説を否定することは出来なかった。	但是，了解她性格的人，却说不出任何反驳的话来。		PC版替换待抽检	来自电脑端汉化补丁；按场景、PC原文及出现次序安全对齐，待抽样复核
Script/scenario01_1.binu8@68806	Script/scenario01_1.binu8	68802	68806	@n　――演技のためなら、彼女は命さえも捧げるでしょう。	@n　——如果是为了演技，她甚至会献出自己的生命。	@n	初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@68891	Script/scenario01_1.binu8	68887	68891	　彼女の死の真相は……きっと、彼女以外にはわからない。	她死亡的真相……想必，除了她自己以外无人知晓。		PC版替换待抽检	来自电脑端汉化补丁；按场景、PC原文及出现次序安全对齐，待抽样复核
Script/scenario01_1.binu8@68977	Script/scenario01_1.binu8	68973	68977	　四月、春、入学式。@n　新たな可能性に胸を馳せるこの時期に、賑わう喧騒から逃れるように身を隠す新入生が二人。	　四月，春天，入学典礼。@n　在这个对崭新可能性满怀期待的时节，有两名新生为了躲开喧闹的人群，藏起了身影。	@n	初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@69143	Script/scenario01_1.binu8	69139	69143	環	濑和环		术语检查	独立角色名；依据人物名表
Script/scenario01_1.binu8@69151	Script/scenario01_1.binu8	69147	69151	「新入生歓迎会だってさ」	「听说是新生欢迎会。」		初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@69192	Script/scenario01_1.binu8	69188	69192	「なぁ、双葉。お前はどっか入るの？」	「喂，双叶，你打算加入什么社团？」		初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@69251	Script/scenario01_1.binu8	69247	69251	双葉	仓科双叶		术语检查	独立角色名；依据人物名表
Script/scenario01_1.binu8@69262	Script/scenario01_1.binu8	69258	69262	@vfutaba_0000「……話しかけないでください。耳が気持ち悪いです」	@vfutaba_0000「……请不要和我说话。会坏了耳朵的好心情的」	@vfutaba_0000	PC版替换待抽检	来自电脑端汉化补丁；按语音编号对齐，待抽样复核
Script/scenario01_1.binu8@69355	Script/scenario01_1.binu8	69351	69355	「…………」	「…………」		初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@69378	Script/scenario01_1.binu8	69374	69378	　陰日向に身体を隠す俺たちは、友達を作る集団から置いてけぼりになっていた。	将身体隐藏在阴影中的我们，逐渐被交友集团给丢了下来		PC版替换待抽检	来自电脑端汉化补丁；按场景、PC原文及出现次序安全对齐，待抽样复核
Script/scenario01_1.binu8@69494	Script/scenario01_1.binu8	69490	69494	　創造と芸術の街、ニュクス。@n　その中央に位置するマカリオス学園は、品格と伝統を重んじる校風だ。	　纽克斯，一座创造与艺术之城。@n　位于城市中央的玛卡里奥斯学园，校风重视格调与传统。	@n	初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@69642	Script/scenario01_1.binu8	69638	69642	　かつては、名家の子どもたちが教育を受ける場所として創立されたという、由緒正しい歴史をもつこの学園は、現代社会に適応して以降も非常に人気の高い名門校である。	据说，这所学校曾经是以培育名门后代为目的而建立的，有着正统而悠久的历史，即使在现代化改造后，如今也依然拥有着极高的人气。		PC版替换待抽检	来自电脑端汉化补丁；按场景、PC原文及出现次序安全对齐，待抽样复核
Script/scenario01_1.binu8@69881	Script/scenario01_1.binu8	69877	69881	「……随分と、似合わないところに来ちまったな」	「……还真是来了个和我们格格不入的地方啊。」		初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@69955	Script/scenario01_1.binu8	69951	69955	　隣にいる幼馴染、倉科双葉をちらりと見る。@n　彼女はスマホを握りしめたまま、ディスプレイを凝視していた。	　我瞥了一眼身旁的青梅竹马仓科双叶。@n　她紧紧握着手机，目不转睛地盯着屏幕。	@n	初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@70115	Script/scenario01_1.binu8	70111	70115	「また、いつものか？」	「又在看你那老一套？」		初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@70153	Script/scenario01_1.binu8	70149	70153	@vfutaba_0001「うるさい。耳が孕んだらどう責任とってくれるですか」	@vfutaba_0001「闭嘴。要是把耳朵搞怀孕了你要怎么负责啊」	@vfutaba_0001	PC版替换待抽检	来自电脑端汉化补丁；按语音编号对齐，待抽样复核
Script/scenario01_1.binu8@70249	Script/scenario01_1.binu8	70245	70249	「男として、責任を取ろう」	「作为男人，就要负起责任来。」		初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@70293	Script/scenario01_1.binu8	70289	70293	@vfutaba_0002「じゃあ、養うお金をください。男らしく、というのはそういうことです」	@vfutaba_0002「那就请给我抚养费。要是有男子气概就这么做吧。」	@vfutaba_0002	PC版替换待抽检	来自电脑端汉化补丁；按语音编号对齐，待抽样复核
Script/scenario01_1.binu8@70413	Script/scenario01_1.binu8	70409	70413	　俺が近付こうとすると、一歩遠ざかる双葉。@n　久しぶりに再会した幼馴染は、相も変わらず男嫌いらしい。	　我一想靠近，双叶便往后退了一步。@n　久别重逢的青梅竹马，看来还是一如既往地讨厌男人。	@n	初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@70567	Script/scenario01_1.binu8	70563	70567	「だったら、女友達を作ればいいのに」	「那你交几个女性朋友不就好了吗？」		初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@70626	Script/scenario01_1.binu8	70622	70626	@vfutaba_0003「それが出来たら苦労しませんよ。私は、ハブられていますから」	@vfutaba_0003「要是能做到就不用这么辛苦了。毕竟我被孤立了」	@vfutaba_0003	PC版替换待抽检	来自电脑端汉化补丁；按语音编号对齐，待抽样复核
Script/scenario01_1.binu8@70734	Script/scenario01_1.binu8	70730	70734	@vfutaba_0004「入学早々、ぼっち少女」	@vfutaba_0004「才刚入学，就形单影只咯」	@vfutaba_0004	PC版替换待抽检	来自电脑端汉化补丁；按语音编号对齐，待抽样复核
Script/scenario01_1.binu8@70788	Script/scenario01_1.binu8	70784	70788	　無表情で語るような内容ではない。@n　それでも双葉は、あっけらかんと話す。	　明明不是该面无表情地说这种话的内容。@n　可双叶还是若无其事地说了出来。	@n	初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@70903	Script/scenario01_1.binu8	70899	70903	@vfutaba_0005「女の子はとても尊い存在ですが……だからといって、私のことを好いてくれるわけではないのです。ああ、この世の男すべてが絶滅してくれたら幸せなのに」	@vfutaba_0005「女孩子是非常尊贵的存在……可这对我来说并不是什么好事。啊，要是这世界上的男人都灭绝就好了。」	@vfutaba_0005	PC版替换待抽检	来自电脑端汉化补丁；按语音编号对齐，待抽样复核
Script/scenario01_1.binu8@71137	Script/scenario01_1.binu8	71133	71137	「どうやって子孫を残すんだよ」	「那要怎么延续后代啊？」		初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@71187	Script/scenario01_1.binu8	71183	71187	@vfutaba_0006「男に屈服するくらいなら、絶滅した方がよいのでは？」	@vfutaba_0006「要是不得不向男人屈服的话，也许选择灭绝也不失为一种更好的办法？」	@vfutaba_0006	PC版替换待抽检	来自电脑端汉化补丁；按语音编号对齐，待抽样复核
Script/scenario01_1.binu8@71283	Script/scenario01_1.binu8	71279	71283	「いや、俺に聞くなよ……」	「不，你别问我啊……」		初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@71327	Script/scenario01_1.binu8	71323	71327	　俺だって、男なんだけど。	毕竟，我也是个男的。		PC版替换待抽检	来自电脑端汉化补丁；按场景、PC原文及出现次序安全对齐，待抽样复核
Script/scenario01_1.binu8@71371	Script/scenario01_1.binu8	71367	71371	@vfutaba_0007「そんな私に笑いかけてくれるのは、画面の向こう側のアイドルだけ。ああ……天使ちゃん、可愛いなぁ……」	@vfutaba_0007「能对这样的我露出微笑的，只有画面里的偶像而已。啊……天使、好可爱啊……」	@vfutaba_0007	PC版替换待抽检	来自电脑端汉化补丁；按语音编号对齐，待抽样复核
Script/scenario01_1.binu8@71539	Script/scenario01_1.binu8	71535	71539	　無類のアイドル好き。@n　いつもは無表情の双葉の横顔も、そのときばかりは綻んでいる。	　她是个无可救药的偶像迷。@n　平时总是面无表情的双叶，只有在这个时候，侧脸才会绽放笑意。	@n	初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@71669	Script/scenario01_1.binu8	71665	71669	　それは、恋する乙女の横顔だ。@n　一切の偽りなく、天使ちゃんとやらを愛しているのだ。	　那是恋爱少女的侧脸。@n　她毫无虚假地爱着那个所谓的“天使”。	@n	初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@71799	Script/scenario01_1.binu8	71795	71799	「いつか、お前も男を好きになる日が来るのかな」	「总有一天，你也会喜欢上男人吧。」		初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@71873	Script/scenario01_1.binu8	71869	71873	@vfutaba_0008「気持ち悪い言葉がお上手ですね。さては君、男ですか？」	@vfutaba_0008「恶心人的话倒是很会说嘛。怎么，你好像也是个男的来着？」	@vfutaba_0008	PC版替换待抽检	来自电脑端汉化补丁；按语音编号对齐，待抽样复核
Script/scenario01_1.binu8@71972	Script/scenario01_1.binu8	71968	71972	　わざと、顔を歪めて見せる双葉。	双叶浮夸地摆出一副别扭的脸色。		PC版替换待抽检	来自电脑端汉化补丁；按场景、PC原文及出现次序安全对齐，待抽样复核
Script/scenario01_1.binu8@72025	Script/scenario01_1.binu8	72021	72025	@vfutaba_0009「だから、さきほどから……く、臭い……わけで……」	@vfutaba_0009「难怪，从刚才开始就有一种……恶、恶臭……传了过来……」	@vfutaba_0009	PC版替换待抽检	来自电脑端汉化补丁；按语音编号对齐，待抽样复核
Script/scenario01_1.binu8@72118	Script/scenario01_1.binu8	72114	72118	「普通にショックだからな、その反応！」	「这个反应让我很受打击啊！」		初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@72180	Script/scenario01_1.binu8	72176	72180	「でも、言葉を交わしてくれるだけマシなのかな。男であっても、リアクションはくれる」	「不过，至少你还愿意跟我说话。即便我是男人，你也会给点反应。」		初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@72308	Script/scenario01_1.binu8	72304	72308	@vcs_Futaba_0002「怒らせると乱暴されそうで」	@vcs_Futaba_0002「因为惹怒你的话，感觉会被你粗暴对待。」	@vcs_Futaba_0002	初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@72371	Script/scenario01_1.binu8	72367	72371	「そんな切実な理由だったの！？」	「理由居然这么现实的吗！？」		初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@72424	Script/scenario01_1.binu8	72420	72424	@vfutaba_0011「これくらいが、譲歩のラインかと……」	@vfutaba_0011「如果只有这种程度，还算是能够接受的范围……」	@vfutaba_0011	PC版替换待抽检	来自电脑端汉化补丁；按语音编号对齐，待抽样复核
Script/scenario01_1.binu8@72499	Script/scenario01_1.binu8	72495	72499	「男である前に、俺は人間だからな？　叩くと壊れる心、あるんだぞ！？」	「在成为男人之前，我首先是个人类啊？我也是会碎掉的，懂得什么叫心痛的啊！？」		初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@72606	Script/scenario01_1.binu8	72602	72606	@vfutaba_0012「出る杭は打たれる訳で」	@vfutaba_0012「骂的就是你这种人」	@vfutaba_0012	PC版替换待抽检	来自电脑端汉化补丁；按语音编号对齐，待抽样复核
Script/scenario01_1.binu8@72660	Script/scenario01_1.binu8	72656	72660	「あーもうめちゃくちゃだ！」	「啊——已经彻底乱套了！」		初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@72707	Script/scenario01_1.binu8	72703	72707	@vfutaba_0013「……君が男であると知らなければ、幸せだったのにね」	@vfutaba_0013「……你要是不知道自己是个男人的话，一定会比现在幸福吧」	@vfutaba_0013	PC版替换待抽检	来自电脑端汉化补丁；按语音编号对齐，待抽样复核
Script/scenario01_1.binu8@72803	Script/scenario01_1.binu8	72799	72803	@vfutaba_0014「あーあ、どこかに可愛い女の子落ちていないかなぁ。拾って、捕まえて、可愛がってあげるのに」	@vfutaba_0014「啊～啊，哪里有散装的可爱妹子啊。真想捡回家，抓起来，再好好地疼爱一番」	@vfutaba_0014	PC版替换待抽检	来自电脑端汉化补丁；按语音编号对齐，待抽样复核
Script/scenario01_1.binu8@72956	Script/scenario01_1.binu8	72952	72956	「それは現代社会でいうところの犯罪だからな？」	「这在现代社会可是犯罪啊？」		初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@73030	Script/scenario01_1.binu8	73026	73030	@vfutaba_0015「愛があれば、すべてが解決できると信じている」	@vfutaba_0015「我坚信‘只要有爱就能解决一切问题’」	@vfutaba_0015	PC版替换待抽检	来自电脑端汉化补丁；按语音编号对齐，待抽样复核
Script/scenario01_1.binu8@73117	Script/scenario01_1.binu8	73113	73117	「金があれば、の間違いか？」	「你是想说只要有钱吧？」		初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@73164	Script/scenario01_1.binu8	73160	73164	　だったら、と。	这样的话。		PC版替换待抽检	来自电脑端汉化补丁；按场景、PC原文及出现次序安全对齐，待抽样复核
Script/scenario01_1.binu8@73193	Script/scenario01_1.binu8	73189	73193	@vfutaba_0016「私は、お金持ちになって、愛らしい少女を飼いたいな」	@vfutaba_0016「我想要成为多金土豪，然后包养可爱的少女呐」	@vfutaba_0016	PC版替换待抽检	来自电脑端汉化补丁；按语音编号对齐，待抽样复核
Script/scenario01_1.binu8@73289	Script/scenario01_1.binu8	73285	73289	@vfutaba_0017「出来れば、天使ちゃんみたいな可愛い子がいいけれど……それでも、女の子なら大丈夫」	@vfutaba_0017「可以的话，最好是如天使一般的可爱孩子……不过，只要是女孩就都行啦」	@vfutaba_0017	PC版替换待抽检	来自电脑端汉化补丁；按语音编号对齐，待抽样复核
